Input	Normalized	Gene	First	Middle	Last	SD
384	subtraction	TP53	0.7102	0.7155	0.7153	0
384	subtraction	VEGFA	0.7678	0.7866	0.7377	0
768	raw	APOE	0.9701	0.9972	0.9572	0
768	raw	EGFR	0.7969	0.8834	0.7688	0
768	raw	TNF	0.8179	0.9482	0.9734	0
768	raw	TP53	0.8598	0.8495	0.6498	0
768	raw	VEGFA	0.7221	0.7762	0.77	0
768	zscore	APOE	0.9701	0.9972	0.9572	0
768	zscore	EGFR	0.7969	0.8834	0.7688	0
768	zscore	TNF	0.8179	0.9482	0.9734	0
768	zscore	TP53	0.8598	0.8495	0.6498	0
768	zscore	VEGFA	0.7221	0.7762	0.77	0
768	subtraction	APOE	0.9625	0.9964	0.9505	0
768	subtraction	EGFR	0.7887	0.8914	0.8099	0
768	subtraction	TNF	0.9287	0.9972	0.9369	0
768	subtraction	TP53	0.8031	0.7755	0.7195	0
768	subtraction	VEGFA	0.9027	0.897	0.8189	0
1536	raw	APOE	0.9768	0.9981	0.9669	0
1536	raw	EGFR	0.8607	0.9491	0.8545	0
1536	raw	TNF	0.9675	0.9989	0.9678	0
1536	raw	TP53	0.9405	0.9117	0.6943	0
1536	raw	VEGFA	0.8414	0.9279	0.931	0
1536	zscore	APOE	0.9768	0.9981	0.9669	0
1536	zscore	EGFR	0.8607	0.9491	0.8545	0
1536	zscore	TNF	0.9675	0.9989	0.9678	0
1536	zscore	TP53	0.9405	0.9117	0.6943	0
1536	zscore	VEGFA	0.8414	0.9279	0.931	0
1536	subtraction	APOE	0.9944	0.9965	0.9529	0
1536	subtraction	EGFR	0.8502	0.9272	0.8764	0
1536	subtraction	TNF	0.9689	0.9991	0.9845	0
1536	subtraction	TP53	0.895	0.8743	0.7554	0
1536	subtraction	VEGFA	0.9579	0.9835	0.9021	0
3072	raw	APOE	0.9746	0.9989	0.9637	0
3072	raw	EGFR	0.9179	0.9792	0.8872	0
3072	raw	TNF	0.9679	0.9994	0.979	0
3072	raw	TP53	0.942	0.9764	0.6919	0
3072	raw	VEGFA	0.9455	0.9924	0.9686	0
3072	zscore	APOE	0.9746	0.9989	0.9637	0
3072	zscore	EGFR	0.9179	0.9792	0.8872	0
3072	zscore	TNF	0.9679	0.9994	0.979	0
3072	zscore	TP53	0.942	0.9764	0.6919	0
3072	zscore	VEGFA	0.9455	0.9924	0.9686	0
3072	subtraction	APOE	0.9953	0.9994	0.9799	0
3072	subtraction	EGFR	0.9211	0.9826	0.943	0
3072	subtraction	TNF	0.9694	0.9995	0.9922	0
3072	subtraction	TP53	0.9293	0.9656	0.7652	0
3072	subtraction	VEGFA	0.9761	0.9948	0.939	0
6144	raw	APOE	0.9794	0.9991	0.9632	0
6144	raw	EGFR	0.953	0.9946	0.9133	0
6144	raw	TNF	0.967	0.9995	0.9796	0
6144	raw	TP53	0.9392	0.9794	0.7696	0
6144	raw	VEGFA	0.9646	0.9976	0.9749	0
6144	zscore	APOE	0.9794	0.9991	0.9632	0
6144	zscore	EGFR	0.953	0.9946	0.9133	0
6144	zscore	TNF	0.967	0.9995	0.9796	0
6144	zscore	TP53	0.9392	0.9794	0.7696	0
6144	zscore	VEGFA	0.9646	0.9976	0.9749	0
6144	subtraction	APOE	0.9959	0.9994	0.9835	0
6144	subtraction	EGFR	0.9569	0.9919	0.9161	0
6144	subtraction	TNF	0.9702	0.9997	0.9935	0
6144	subtraction	TP53	0.9429	0.9794	0.7827	0
6144	subtraction	VEGFA	0.9763	0.9973	0.9432	0
12288	raw	APOE	0.9779	0.9991	0.9638	0
12288	raw	EGFR	0.9642	0.9962	0.9263	0
12288	raw	TNF	0.9673	0.9994	0.9812	0
12288	raw	TP53	0.9386	0.9794	0.7933	0
12288	raw	VEGFA	0.9704	0.9991	0.9766	0
12288	zscore	APOE	0.9779	0.9991	0.9638	0
12288	zscore	EGFR	0.9642	0.9962	0.9263	0
12288	zscore	TNF	0.9673	0.9994	0.9812	0
12288	zscore	TP53	0.9386	0.9794	0.7933	0
12288	zscore	VEGFA	0.9704	0.9991	0.9766	0
12288	subtraction	APOE	0.9953	0.9996	0.9851	0
12288	subtraction	EGFR	0.9663	0.9968	0.9247	0
12288	subtraction	TNF	0.9718	0.9996	0.9942	0
12288	subtraction	TP53	0.9472	0.984	0.8159	0
12288	subtraction	VEGFA	0.9792	0.999	0.9623	0
24576	raw	APOE	0.9772	0.999	0.9667	0
24576	raw	EGFR	0.9667	0.9959	0.9248	0
24576	raw	TNF	0.9658	0.9994	0.9805	0
24576	raw	TP53	0.9359	0.9787	0.8134	0
24576	raw	VEGFA	0.9706	0.9995	0.9746	0
24576	zscore	APOE	0.9772	0.999	0.9667	0
24576	zscore	EGFR	0.9667	0.9959	0.9248	0
24576	zscore	TNF	0.9658	0.9994	0.9805	0
24576	zscore	TP53	0.9359	0.9787	0.8134	0
24576	zscore	VEGFA	0.9706	0.9995	0.9746	0
24576	subtraction	APOE	0.995	0.9995	0.9845	0
24576	subtraction	EGFR	0.969	0.9968	0.9189	0
24576	subtraction	TNF	0.9698	0.9996	0.995	0
24576	subtraction	TP53	0.9483	0.9834	0.8205	0
24576	subtraction	VEGFA	0.9798	0.9995	0.9616	0
